outer_x,outer_y,outer_z,inner_x,inner_y,inner_z,track_width,initial_x,initial_y,initial_z,initial_position
605050.5379786529,5805670.665398011,6.329589143,605040.2038824994,5805673.864593682,5.112941928,10.82012689,605046.9738113412,5805671.76880158,5.909975361,0.344893554
605050.1511543687,5805669.716310351,6.305919694,605039.881591217,5805672.960650451,5.099465068,10.77200097,605046.6657001874,5805670.81740977,5.896452879,0.33939678
605049.7652963623,5805668.768254934,6.281078784,605039.5583666263,5805672.054675736,5.086002326,10.72510648,605046.3517838512,5805669.867326908,5.881407718999999,0.334431377
605049.3803716595,5805667.822231004,6.257462451,605039.2351750087,5805671.147701767,5.073149609,10.6784505,605046.0327488217,5805668.919575992,5.866673058,0.329971422
605048.9963802597,5805666.878238566,6.23384353,605038.9110171071,5805670.239695564,5.060201922,10.63292481,605045.7088914783,5805667.9739667345,5.851276008999999,0.32596622199999997
605048.6123888572,5805665.9342461275,6.211218721,605038.5869251536,5805669.329690853,5.047766155,10.58696014,605045.3799914847,5805667.02899135,5.836100096,0.322418495
605048.2293307579,5805664.992285178,6.188132173,605038.261899892,5805668.417654658,5.034820742,10.54168914,605045.0468453489,5805666.085976563,5.8198936429999995,0.319288026
605047.8472059617,5805664.052355722,6.16585302,605037.9358753713,5805667.505585483,5.021868188,10.49777486,605044.7100594189,5805665.145342537,5.803757097,0.316521612
605047.4640819065,5805663.112393291,6.144148372,605037.6099167988,5805666.591517802,5.009584755,10.45239231,605044.3692499809,5805664.205075901,5.78782335,0.314063501
605047.0829233862,5805662.1734960675,6.121662734,605037.2839911989,5805665.676450864,4.99797949,10.40831519,605044.0253434448,5805663.266507691,5.771037967000001,0.312031677
605046.700765607,5805661.234565875,6.099603791,605036.9570993152,5805664.760351697,4.9867236639999994,10.36402875,605043.678182828,5805662.328332266,5.75437723,0.310210015
605046.3195411307,5805660.297667171,6.07804389,605036.6160529638,5805663.84878716,4.975265053,10.33493053,605043.3287645888,5805661.392183066,5.738149184,0.308216566
605045.9383166517,5805659.360768469,6.056660344,605036.2679788397,5805662.937991056,4.964032163,10.31282823,605042.976675135,5805660.456345858,5.722031488,0.306260503
605045.5570591951,5805658.424869024,6.035521403,605035.9199047134,5805662.027194948,4.9527796969999995,10.29047064,605042.6225742755,5805659.521742721,5.7058294179999995,0.304497354
605045.1768009921,5805657.489002557,6.014384235,605035.5708643034,5805661.115366611,4.942264903,10.26969586,605042.26639516,5805658.587671213,5.689553513,0.302980006
605044.7965098112,5805656.554135351,5.99282145,605035.2218898413,5805660.201539769,4.9316560780000005,10.24787027,605041.9083610224,5805657.654338766,5.672724658,0.301646473
