outer_x,outer_y,outer_z,inner_x,inner_y,inner_z
605431.1601,5805323.589,4.500353147,605431.1103,5805334.318,4.832599676
605422.0274,5805323.701,4.529875676,605421.7898,5805334.133,4.84673374
605412.7634,5805323.497,4.560360715,605412.1223,5805333.718,4.867057975
605403.0694,5805323.037,4.593379308,605402.1838,5805333.291,4.894576518
605392.958,5805322.56,4.631349676,605391.9587,5805332.853,4.936196541
605382.5383,5805321.65,4.675084011,605381.4377,5805332.276,4.990133417
605371.7904,5805320.688,4.723158302,605370.6244,5805331.476,5.048172611
605360.7153,5805319.696,4.772223499,605359.4958,5805330.653,5.110024882
605349.373,5805318.331,4.826723357,605348.0484,5805329.658,5.172340884
605337.7249,5805316.929,4.88442049,605336.3033,5805328.347,5.233777357
605325.7777,5805315.49,4.950809509,605324.2292,5805326.969,5.291580336
605313.6144,5805313.562,5.019844401,605311.9055,5805324.941,5.348211724
605301.2313,5805311.521,5.09573128,605299.2352,5805322.858,5.420372652
605288.6278,5805309.035,5.194071145,605286.3598,5805320.268,5.522921075
605275.7228,5805306.378,5.323827762,605273.2504,5805317.58,5.65792953
605262.6033,5805303.368,5.497691683,605259.9335,5805314.603,5.829739243
605249.2594,5805300.157,5.722796377,605246.4096,5805311.355,6.051775675
605235.7633,5805296.61,5.994230351,605232.6114,5805308.041,6.325465507
605222.0805,5805292.798,6.270736694,605218.6782,5805304.206,6.622405642
605208.2295,5805288.641,6.510514368,605204.4849,5805300.265,6.876061301
605194.2318,5805284.005,6.662473854,605190.1359,5805295.879,7.014006639
605179.9935,5805279.14,6.69960282,605175.5522,5805291.207,7.053309234
605165.6079,5805273.744,6.614510837,605160.785,5805286.049,6.983345425
605150.9874,5805268.012,6.399062997,605145.7584,5805280.546,6.772046053
605136.1384,5805261.85,6.062181028,605130.5648,5805274.479,6.451705269
605121.2836,5805255.143,5.627132669,605115.2797,5805268.091,6.046070579
605108.025,5805249.035,5.223708855,605101.7936,5805262.032,5.641802211
605096.771,5805243.473,4.91627079,605090.2683,5805256.623,5.274929312
605087.1374,5805238.711,4.678506793,605080.2784,5805251.927,4.946259474
605078.9648,5805234.564,4.484078495,605071.7055,5805247.506,4.661018544
605071.6804,5805230.701,4.323480242,605064.9356,5805244.016,4.420982567
605065.4825,5805227.415,4.188114914,605059.0554,5805240.985,4.227238232
605060.1648,5805224.595,4.078086079,605054.0349,5805238.165,4.07123638
605055.5992,5805221.995,3.988437102,605049.6335,5805235.679,3.944302133
605051.5606,5805219.614,3.912774876,605045.7132,5805233.464,3.838173534
605047.9732,5805217.499,3.858540599,605042.3278,5805231.425,3.752938559
605044.6203,5805215.523,3.817399354,605039.2333,5805229.543,3.680123529
605041.3824,5805213.614,3.788705262,605036.3441,5805227.786,3.618189636
605038.1525,5805211.713,3.768332871,605033.6492,5805226.147,3.567545354
605034.7567,5805209.876,3.755754993,605031.2616,5805224.694,3.525261661
605030.5146,5805208.309,3.746126727,605029.1835,5805223.498,3.491917192
605026.784,5805207.532,3.74015372,605026.6825,5805222.464,3.466211455
605022.3483,5805207.311,3.732882018,605024.3094,5805221.956,3.446539957
605017.0372,5805208.095,3.725592831,605022.0586,5805222.077,3.431343806
605012.5119,5805209.949,3.716556093,605019.8272,5805222.898,3.421952805
605008.2674,5805213.326,3.703909743,605018.1298,5805224.496,3.415773359
605006.0231,5805216.612,3.686491661,605016.5456,5805226.637,3.414696929
605004.1146,5805219.369,3.662294674,605015.1351,5805229.156,3.41945974
605002.5598,5805222.063,3.629967041,605013.6322,5805231.833,3.429834337
605000.95,5805224.848,3.586991642,605012.0747,5805234.608,3.444537411
604999.2789,5805227.739,3.532129592,605010.4402,5805237.521,3.460508909
604997.6425,5805230.57,3.464090126,605008.6362,5805240.683,3.479390309
604995.8877,5805233.605,3.38354433,605006.5817,5805243.834,3.50020503
604994.0632,5805236.763,3.293014318,605004.3996,5805246.942,3.522385475
604992.3581,5805239.713,3.205730419,605001.8758,5805249.398,3.543298584
604990.5286,5805242.137,3.118094585,604999.1366,5805251.78,3.563090167
604988.6396,5805244.268,3.031678077,604996.0959,5805253.873,3.579123525
604986.7071,5805245.839,2.951818588,604993.0219,5805255.955,3.591399165
