inner_x,inner_y,inner_z,outer_x,outer_y,outer_z
710853.6754,5592099.703,391.8800049,710860.85,5592106.277,391.6700134
710855.8342,5592097.36,391.782959,710863.0211,5592103.946,391.5400085
710857.9929,5592095.017,391.6499939,710865.1921,5592101.614,391.4200134
710860.1517,5592092.674,391.5100098,710867.3632,5592099.282,391.2200012
710862.3105,5592090.33,391.3900146,710869.5343,5592096.95,391.0899963
710864.4693,5592087.987,391.2950134,710871.7053,5592094.618,390.9299927
710866.6281,5592085.644,391.1700134,710873.8764,5592092.286,390.7600098
710868.7869,5592083.301,391.0599976,710876.0475,5592089.954,390.6900024
710870.9457,5592080.958,390.8800049,710878.2185,5592087.623,390.5700073
710873.1045,5592078.615,390.7900085,710880.3902,5592085.291,390.4500122
710875.2633,5592076.272,390.6471863,710882.5632,5592082.961,390.3099976
710877.4221,5592073.929,390.519989,710884.7361,5592080.631,390.1350098
710879.5809,5592071.585,390.4100037,710886.9091,5592078.301,390.0599976
710881.7397,5592069.242,390.3399963,710889.082,5592075.971,389.8599854
710883.8985,5592066.899,390.2600098,710891.255,5592073.64,389.8399963
710886.0573,5592064.556,390.1700134,710893.4279,5592071.31,389.6499939
710888.2666,5592062.158,390.0849915,710895.5828,5592069,389.6600037
710890.5766,5592059.75,390.019989,710897.719,5592066.709,389.5400085
710892.8841,5592057.443,389.980011,710900.1702,5592064.691,389.5499878
710895.1374,5592055.19,389.9200134,710902.647,5592062.66,389.4500122
710897.6346,5592052.693,389.8599854,710904.9964,5592060.734,389.4700012
710900.5171,5592050.305,389.7999878,710907.2463,5592058.89,389.4500122
710903.2659,5592048.291,389.8099976,710909.6334,5592056.933,389.4200134
710905.8666,5592046.385,389.7399902,710912.3372,5592055.258,389.4100037
710908.7486,5592044.317,389.730011,710914.9104,5592053.697,389.4599915
710911.7712,5592042.527,389.7200012,710917.4925,5592052.131,389.4899902
710914.5146,5592040.902,389.7200012,710920.2042,5592050.453,389.4400024
710917.258,5592039.277,389.730011,710922.7773,5592048.542,389.4700012
710920.0014,5592037.652,389.7799988,710925.3503,5592046.631,389.5299988
710922.7448,5592036.027,389.8399963,710927.9234,5592044.721,389.6199951
710925.4882,5592034.402,389.8850098,710930.4965,5592042.81,389.7099915
710928.2317,5592032.777,389.9400024,710933.0695,5592040.899,389.8450012
710930.9751,5592031.152,390.0299988,710935.759,5592039.183,389.980011
710933.7185,5592029.527,390.0799866,710938.5091,5592037.57,390.1099854
710936.4619,5592027.902,390.2000122,710941.2593,5592035.956,390.25
710939.2053,5592026.277,390.3200073,710944.0095,5592034.343,390.4500122
710941.9487,5592024.653,390.519989,710946.7597,5592032.729,390.6000061
