outer_x,outer_y,outer_z,inner_x,inner_y,inner_z,initial_x,initial_y,initial_z,initial_position
605058.0967,5805700.05,7.017696966,605045.5977,5805700.181,5.514267429,605051.69,5805700.117,6.247072339,0.512579027
605057.812,5805694.715,6.914115759,605045.6986,5805695.922,5.448660312,605051.7014,5805695.324,6.17486545,0.50445114
605056.9471,5805689.472,6.796868798,605044.9863,5805691.257,5.379621606,605051.296,5805690.315,6.127258581,0.472472508
605055.4557,5805684.204,6.66870204,605044.0179,5805686.287,5.304009176,605050.4761,5805685.111,6.074562574,0.435363826
605053.7756,5805678.634,6.533016459,605042.5433,5805681.333,5.226961227,605049.2684,5805679.717,6.008934286,0.401271142
605051.5051,5805673.044,6.389926851,605040.991,5805676.115,5.146606886,605047.7163,5805674.15,5.941893409,0.360353664
605049.1731,5805667.313,6.244650298,605039.0603,5805670.658,5.066126247,605045.8586,5805668.409,5.85838523,0.327752857
605046.7564,5805661.371,6.102772031,605037.0054,5805664.893,4.988372138,605043.7288,5805662.465,5.756770909,0.31048207
605044.2386,5805655.182,5.960374687,605034.7099,5805658.861,4.916896568,605041.3799,5805656.286,5.647325404,0.300005693
605041.6134,5805648.73,5.811983701,605032.2892,5805652.524,4.856218136,605038.8449,5805649.857,5.528196461,0.296921324
605038.8808,5805642.013,5.643844556,605029.7539,5805645.889,4.80450147,605036.1189,5805643.186,5.389851341,0.302608947
605036.0663,5805635.096,5.460642637,605027.0653,5805638.853,4.752281933,605033.2376,5805636.277,5.238027043,0.314268864
605033.156,5805627.942,5.264959443,605024.2701,5805631.537,4.69816141,605030.2827,5805629.105,5.081682959,0.323354093
605030.1404,5805620.527,5.061857399,605021.3762,5805623.962,4.641557976,605027.2879,5805621.645,4.925065533,0.325469431
605026.3589,5805613.092,4.866170431,605018.3786,5805616.118,4.591884776,605024.2744,5805613.883,4.794527452,0.261200948
605023.3876,5805605.023,4.696394463,605015.3055,5805607.985,4.555007621,605021.2603,5805605.803,4.659180216,0.263207159
605020.3429,5805596.658,4.56050231,605012.2429,5805599.522,4.540110066,605018.2478,5805597.399,4.555228576,0.258652511
605017.4205,5805587.923,4.468324612,605009.0759,5805590.769,4.569657085,605015.2227,5805588.673,4.495013819,0.263382555
