outer_x,outer_y,outer_z,inner_x2,inner_y3,inner_z4
384101.8538,5846719.205,0,384107.1417,5846732.321,0
384100.1151,5846720.047,0,384105.2706,5846733.343,0
384098.3748,5846720.888,0,384103.4042,5846734.341,0
384096.63,5846721.732,0,384101.6014,5846735.306,0
384094.8506,5846722.593,0,384099.8729,5846736.231,0
384093.0286,5846723.475,0,384098.1675,5846737.144,0
384091.1923,5846724.363,0,384096.4718,5846738.051,0
384089.3517,5846725.26,0,384094.7886,5846738.952,0
384087.5767,5846726.294,0,384093.2435,5846740.05,0
384085.7917,5846727.334,0,384091.7296,5846741.134,0
384083.9917,5846728.383,0,384090.2574,5846742.188,0
384082.1676,5846729.446,0,384088.8529,5846743.193,0
384080.4382,5846730.737,0,384087.5756,5846744.107,0
384078.745,5846732.206,0,384086.4515,5846744.912,0
384076.9889,5846733.731,0,384085.2378,5846745.781,0
384075.2736,5846735.219,0,384083.8453,5846746.86,0
384073.658,5846736.621,0,384082.4817,5846748.129,0
384072.1131,5846738.017,0,384081.0832,5846749.431,0
384070.7813,5846739.584,0,384079.6652,5846750.752,0
384069.46,5846741.139,0,384078.2351,5846752.083,0
384068.145,5846742.687,0,384076.7967,5846753.422,0
384066.8342,5846744.23,0,384075.3523,5846754.767,0
384065.5264,5846745.769,0,384073.9603,5846756.168,0
384064.1961,5846747.283,0,384072.7661,5846757.753,0
384062.8378,5846748.769,0,384071.5706,5846759.34,0
384061.4807,5846750.254,0,384070.3747,5846760.928,0
384060.1241,5846751.738,0,384069.1932,5846762.496,0
384058.7592,5846753.231,0,384068.0354,5846764.033,0
384057.3808,5846754.739,0,384066.8905,5846765.553,0
384055.9957,5846756.255,0,384065.7535,5846767.063,0
384054.6081,5846757.778,0,384064.6256,5846768.56,0
384053.2145,5846759.309,0,384063.6044,5846770.119,0
384051.813,5846760.847,0,384062.6508,5846771.7,0
384050.4015,5846762.397,0,384061.7131,5846773.254,0
384048.9766,5846763.962,0,384060.7946,5846774.776,0
384047.5339,5846765.546,0,384059.8992,5846776.259,0
384046.0667,5846767.156,0,384059.0324,5846777.696,0
384044.8433,5846768.976,0,384058.2019,5846779.072,0
