outer_x,outer_y,outer_z,inner_x,inner_y,inner_z
592558.1754875699,5770625.407222477,0.0,592561.073746743,5770624.471606282,0.0
592553.2410829718,5770610.203256926,0.0,592556.0533929603,5770609.299586682,0.0
592548.7938317554,5770596.53455295,0.0,592551.683103243,5770595.467339862,0.0
592543.34606814,5770582.422705895,0.0,592546.3286009035,5770581.179121481,0.0
592537.0970323974,5770567.815975483,0.0,592541.166746537,5770566.108255827,0.0
592531.572890311,5770554.914539824,0.0,592536.6368060939,5770552.89656329,0.0
592529.0430245183,5770547.570140126,0.0,592534.3903798308,5770546.347054538,0.0
592528.1371798432,5770541.818350732,0.0,592533.2385983703,5770541.807332631,0.0
592528.574280094,5770536.94997669,0.0,592533.6392877616,5770537.980770356,0.0
592530.5071477314,5770530.955951141,0.0,592535.3674204461,5770533.211542775,0.0
592536.0968252675,5770522.764376835,0.0,592539.4688568938,5770525.347246999,0.0
592544.6235604609,5770511.955436383,0.0,592547.7639597955,5770514.52108058,0.0
592554.8765277793,5770499.325358439,0.0,592558.2274094064,5770502.016341365,0.0
592565.1977905096,5770486.624867028,0.0,592568.7338318194,5770489.464110166,0.0
592575.0449528819,5770474.46121093,0.0,592578.7092314208,5770477.402820271,0.0
592585.1778051235,5770461.6649809,0.0,592588.8549659686,5770464.618348378,0.0
592595.3427503688,5770448.8363396,0.0,592599.0344565077,5770451.800845683,0.0
592605.4463807405,5770436.085131448,0.0,592609.1495262936,5770439.05909417,0.0
592615.463738416,5770423.437202736,0.0,592619.3004114033,5770426.517462494,0.0
592625.6765618765,5770410.803192417,0.0,592629.5449000474,5770413.909079585,0.0
592635.9877164069,5770398.093908101,0.0,592639.8649661654,5770401.20735907,0.0
592646.2991523199,5770385.384679799,0.0,592650.1854129931,5770388.505301482,0.0
592656.6025578623,5770372.685070645,0.0,592660.4979165086,5770375.81290527,0.0
592666.7437176605,5770360.098348312,0.0,592670.6895221944,5770363.2704958,0.0
592676.734232867,5770347.610438449,0.0,592680.580747739,5770350.804346701,0.0
592683.4124888792,5770339.245422155,0.0,592687.4036139143,5770342.091849213,0.0
592685.9180687168,5770336.227117034,0.0,592690.2672284133,5770338.236747824,0.0
592687.101814948,5770333.428532096,0.0,592691.7186277685,5770334.19955139,0.0
592686.6505877645,5770330.54520174,0.0,592691.5392166027,5770329.731450764,0.0
592685.6746281462,5770327.731509653,0.0,592690.3519005517,5770325.2389738,0.0
592681.5548127413,5770323.297479144,0.0,592684.3221135752,5770320.277217875,0.0
592670.5662793386,5770314.649523775,0.0,592672.8586676165,5770311.669487282,0.0
592659.1868409951,5770305.961267223,0.0,592661.2273159152,5770303.221955259,0.0
