track_id,inner_x,inner_y,inner_z,outer_x,outer_y,outer_z,
2,334182.2992,5870989.433,11.72099972,334194.7255,5870990.616,12.25399971,
2,334182.7709,5870984.455,11.72500038,334195.1397,5870985.633,12.2489996,
2,334183.2424,5870979.482,11.70300007,334195.5544,5870980.644,12.26799965,
2,334183.7132,5870974.514,11.72000027,334195.9699,5870975.645,12.27999973,
2,334184.1837,5870969.55,11.70199966,334196.3859,5870970.641,12.28299999,
2,334184.5885,5870964.58,11.72099972,334196.6805,5870965.628,12.27400017,
2,334184.9882,5870959.607,11.71700001,334196.9655,5870960.62,12.29100037,
2,334185.387,5870954.646,11.70199966,334197.2513,5870955.598,12.29199982,
2,334185.7508,5870949.731,11.68200016,334197.5406,5870950.514,12.27700043,
2,334186.0382,5870944.908,11.68500042,334197.8372,5870945.302,12.28899956,
2,334186.2106,5870940.206,11.69499969,334197.9018,5870939.903,12.28100014,
2,334186.0608,5870935.612,11.70699978,334197.6488,5870934.336,12.29699993,
2,334185.2009,5870931.166,11.71199989,334196.6181,5870928.762,12.26200008,
2,334184.0823,5870926.797,11.71500015,334195.1484,5870923.279,12.25899982,
2,334182.4801,5870922.559,11.69900036,334193.1528,5870917.998,12.27499962,
2,334180.4364,5870918.489,11.67099953,334190.8536,5870912.874,12.26299953,
2,334178.0972,5870914.572,11.67500019,334187.7789,5870908.196,12.26900005,
2,334175.482,5870910.838,11.68000031,334184.6153,5870903.576,12.26799965,
2,334172.5052,5870907.398,11.67700005,334180.7711,5870899.482,12.27999973,
2,334169.173,5870904.314,11.66300011,334176.5824,5870895.753,12.26299953,
2,334165.6064,5870901.509,11.65799999,334172.2549,5870892.193,12.2159996,
2,334161.8404,5870898.965,11.68700027,334167.3119,5870889.551,12.21199989,
2,334157.7451,5870896.993,11.65699959,334162.4032,5870886.928,12.21700001,
2,334153.575,5870895.188,11.6590004,334157.3665,5870884.5,12.22799969,
2,334149.2156,5870893.879,11.62699986,334151.8857,5870883.397,12.20499992,
2,334144.7469,5870893.005,11.6420002,334146.4622,5870882.305,12.20499992,
2,334140.2306,5870892.488,11.6260004,334140.9938,5870881.205,12.20800018,
2,334135.7017,5870892.314,11.65999985,334135.4021,5870881.444,12.18500042,
2,334131.1934,5870892.627,11.64799976,334129.8157,5870881.78,12.16899967,
2,334126.7488,5870893.48,11.61400032,334124.2406,5870882.45,12.20400047,
2,334122.3098,5870894.613,11.63199997,334118.9749,5870884.191,12.19200039,
2,334117.9597,5870896.359,11.64400005,334113.8489,5870885.886,12.19999981,
2,334113.5743,5870898.337,11.6260004,334108.9879,5870887.829,12.18999958,
2,334109.0969,5870900.357,11.59899998,334104.3432,5870889.94,12.22299957,
2,334104.6176,5870902.435,11.64299965,334099.7287,5870892.038,12.19900036,
2,334100.1933,5870904.49,11.62199974,334095.1403,5870894.364,12.20199966,
2,334095.8531,5870906.506,11.65699959,334090.6406,5870897.117,12.16399956,
2,334091.8668,5870908.983,11.59599972,334086.0648,5870899.916,12.16499996,
2,334088.1013,5870911.669,11.61699963,334081.4104,5870902.764,12.14099979,
2,334084.4935,5870914.49,11.60099983,334076.805,5870905.884,12.18599987,
2,334081.1953,5870917.62,11.58600044,334073.2163,5870910.203,12.13799953,
2,334078.315,5870921.119,11.61100006,334069.6507,5870914.495,12.14700031,
2,334075.7893,5870924.889,11.60299969,334066.0659,5870918.81,12.16899967,
2,334073.5396,5870928.855,11.57900047,334063.5845,5870923.804,12.14299965,
2,334071.6388,5870933.016,11.60200024,334061.6001,5870928.97,12.14400005,
2,334070.1877,5870937.346,11.60200024,334059.6189,5870934.127,12.15600014,
2,334068.9085,5870941.711,11.52600002,334057.8212,5870939.422,12.16600037,
2,334068.2657,5870946.191,11.56400013,334057.6212,5870945.05,12.15699959,
2,334068.0057,5870950.699,11.58100033,334057.4237,5870950.607,12.12699986,
2,334068.1093,5870955.235,11.58699989,334057.226,5870956.171,12.14599991,
2,334068.9494,5870959.724,11.61499977,334057.2545,5870961.78,12.17500019,
2,334069.7901,5870964.215,11.61800003,334059.0592,5870967.069,12.13599968,
2,334071.1388,5870968.576,11.62899971,334060.8465,5870972.308,12.14299965,
