outer_x,outer_y,outer_z,inner_x,inner_y,inner_z,initial_x,initial_y,initial_z,initial_position,Distance (m),Speed (m/s),Longitudinal acceleration (m/s2),Lateral acceleration (m/s2),Optimized line,Timestamp
604942.7017,5805404.806,6.072881563,604939.3871,5805412.912,5.952825041,604941.0313,5805408.891,6.012378942,0.503951477,813.2213946502898,34.45026521841317,2.6335123752904717,-4.500100500486037,0.4515133000150766,21.52085627389772
604934.6232,5805401.806,5.967192481,604931.4504,5805410.049,5.885597874,604933.1068,5805405.746,5.928195042,0.477941243,821.7801008714724,35.11753577833452,1.8392339024274253,1.9841029895362101,0.5073556932848765,21.76690993948887
604926.3538,5805398.733,5.829026714,604923.2642,5805407.097,5.773287586,604924.9073,5805402.649,5.802930178,0.468190477,830.5435744610464,35.346885704166766,-5.334761652344053,2.4366790216222847,0.4859110536767289,22.015644645747695
604918.8823,5805395.958,5.674374994,604915.8395,5805404.418,5.64200138,604917.451,5805399.937,5.659146888,0.470384436,838.4787859932925,32.87677328197778,-10.62616515373761,0.4042572092416698,0.4748051793171538,22.24826809779261
604912.2897,5805393.51,5.515340671,604909.2091,5805402.026,5.517987236,604910.8059,5805397.612,5.51661557,0.481652358,845.5222998639636,30.525658341620126,-10.55901552889522,1.1514323193362568,0.4591172111547661,22.470452442787025
604906.3597,5805391.307,5.356457456,604903.1702,5805399.848,5.402558681,604904.7739,5805395.553,5.379378832,0.497198069,851.8942745895429,28.251758465647328,-10.892911936721891,1.085648187769018,0.4389931841272348,22.68726954948204
604901.132,5805389.365,5.205370786,604897.8131,5805397.916,5.301152486,604899.4606,5805393.671,5.253605455,0.503589924,857.5245572378124,25.93810249919662,-10.492313339740557,0.8617072039130053,0.4147381154888135,22.895067929032127
604896.4877,5805387.641,5.057521288,604893.0051,5805396.181,5.212482204,604894.7696,5805391.854,5.133967117,0.493330514,862.5423601566192,23.937030599922693,-8.4180006388532,1.5624662843538588,0.3911557343794412,23.096282546698802
604892.4175,5805385.903,4.914497866,604888.6208,5805394.599,5.137827616,604890.6117,5805390.039,5.020718015,0.475618848,867.0578004738026,22.54054651498562,-5.794236417860643,3.583883093833431,0.3794388868346531,23.29058873034601
604888.8956,5805384.058,4.775567868,604884.5206,5805393.05,5.074587034,604886.8912,5805388.177,4.912559275,0.458124968,871.1818897048838,21.677072909075186,-3.5137632132672625,5.791690477932584,0.3762680983945091,23.47712474403458
604885.9624,5805382.252,4.641182956,604880.6705,5805391.147,5.019647316,604883.5798,5805386.256,4.811581714,0.450202503,874.9455133827051,21.22938695609002,-1.562581137924424,7.858028275470291,0.3814976157825278,23.652558638587927
604883.3211,5805380.203,4.51232433,604877.4569,5805389.074,4.968613378,604880.6353,5805384.266,4.721307831,0.458005659,878.4676104132608,21.11960839095475,-0.3202195588303089,9.86621899079046,0.3998257836457112,23.818895384085312
604880.9636,5805378.221,4.385740422,604874.5087,5805386.8,4.918018988,604877.9891,5805382.174,4.631025333,0.460823783,881.8039595870492,21.11960839095475,-0.061287291726718714,10.336044478255763,0.4046134028610822,23.976869391558736
604879.0075,5805376.312,4.263825629,604871.7377,5805384.2,4.865268367,604875.6262,5805379.981,4.543563366,0.4651131,884.9708185757116,21.10169534440962,-0.3307195417252045,8.994171670725057,0.401598674101987,24.12688176486259
604877.3117,5805374.516,4.147637667,604869.1873,5805381.387,4.812578418,604873.546,5805377.701,4.45584577,0.463503041,887.9724249990325,21.026156223410933,-0.38730419437348884,7.740952072864102,0.3919821998671811,24.269381622396914
604875.8393,5805372.522,4.0363825,604866.9492,5805378.517,4.757439869,604871.7122,5805375.305,4.371120001,0.464228684,890.9050968755988,20.99146586069933,-0.12218767520293569,7.238204232862741,0.3875506154455579,24.408974094845536
604874.4447,5805370.646,3.934110356,604864.9104,5805375.44,4.701760119,604870.1359,5805372.812,4.281029637,0.451929749,893.7463561912892,20.99146586069933,-9.32208348767253e-15,6.728241723353685,0.3696673069896956,24.544327163304175
604873.1398,5805368.695,3.836140248,604863.151,5805372.167,4.645941996,604868.8024,5805370.202,4.18777513,0.434214712,896.5579977339696,20.99146586069933,0.22643308388570477,5.644614142379631,0.3468737162902748,24.678269288229544
604871.9631,5805366.319,3.745957553,604861.7412,5805369.04,4.590510393,604867.7074,5805367.452,4.097566035,0.416332689,899.4476992483411,21.054673172807636,0.2874320190046402,4.422000164672183,0.3255392604507609,24.81572312255515
604871.0567,5805363.711,3.660740639,604860.6072,5805365.973,4.534520391,604866.8772,5805364.616,4.010216806,0.399957451,902.3571863120802,21.070308174429243,0.056497959074715394,3.204262219062472,0.307344541015036,24.95385906805296
604870.5749,5805360.998,3.58719375,604859.893,5805362.834,4.48147954,604866.314,5805361.73,3.94392294,0.398899769,905.2547899919773,21.070308174429243,-9.357096508479598e-15,1.9361310642166722,0.3048367638435114,25.091379775197318
604870.23,5805358.365,3.52564043,604859.2105,5805359.542,4.430349165,604866.0124,5805358.815,3.871908237,0.382736699,908.1215175340698,21.070308174429243,0.3980515868722761,0.6496963451476918,0.2877375073756037,25.227435096190277
604870.1061,5805355.805,3.476296766,604858.9825,5805355.978,4.383713599,604865.9668,5805355.869,3.813962874,0.372118396,910.9734441210509,21.177784850275156,0.5930857252405699,-0.6057175156475599,0.2739563422130153,25.362443631856657
604870.2684,5805353.412,3.440272071,604859.1122,5805352.037,4.347988379,604866.1768,5805352.908,3.773185188,0.366758539,913.7901316293515,21.22973626244549,0.639857538668524,-1.8207581156054669,0.2654415505948287,25.49528268655235
604870.4478,5805350.789,3.418519299,604859.5951,5805348.366,4.324588121,604866.645,5805349.94,3.736004316,0.350400738,916.6815671659332,21.351597509613192,1.176587668347719,-2.9142500327056466,0.2432680115957499,25.631090341242537
604870.9604,5805348.031,3.414445291,604860.3486,5805344.848,4.3152059,604867.3847,5805346.959,3.7179616,0.336954322,919.665921346023,21.55597093436259,1.4687893028387318,-4.04437416364348,0.2244411983215494,25.770196531050818
604871.7524,5805345.286,3.42835489,604861.4056,5805341.341,4.322563432,604868.4022,5805344.009,3.717890854,0.323790181,922.6942605118116,21.761262378882076,1.1335317428916218,-5.355457358119995,0.2062909637128907,25.91001798012119
604872.6392,5805342.712,3.460977865,604863.0253,5805337.524,4.346079559,604869.6979,5805341.124,3.73176844,0.305944357,925.6828236955088,21.870628762482674,0.7586017553463271,-6.4853526869079605,0.1822427872232455,26.047007833438084
604874.1012,5805340.216,3.515120711,604864.9557,5805334.084,4.387564217,604871.2782,5805338.323,3.784418922,0.308671263,928.76761078707,21.971548491136172,0.9064303334847997,-7.311735108651407,0.1823470092239471,26.18773018277381
604875.6382,5805337.592,3.58690423,604867.1421,5805331.009,4.449205321,604873.1318,5805335.65,3.841293445,0.29501261,931.9245334478727,22.129375220832557,1.1075197416733136,-8.275672384660835,0.1633418030976746,26.33089827972439
604877.3737,5805334.95,3.676835836,604869.463,5805328.156,4.530092821,604875.2545,5805333.13,3.905416644,0.267891724,935.1486721071632,22.290911897605586,1.1987723058537327,-9.084906981731377,0.1317155251902033,26.476063422430194
604879.4484,5805332.519,3.786226437,604872.1244,5805325.437,4.631230178,604877.6498,5805330.78,3.993743455,0.24558106,938.4214103638544,22.479127683462238,1.3467564991606193,-9.76717823611543,0.1081743678665723,26.62226558295163
